My Awesome CSV

timer,movingAvg,feedbackShown,benchmark
81400,0.0002457002457002457,FALSE,0.0003515625
81600,0.00024509803921568627,FALSE,0.0003515625
81800,0.00024449877750611245,FALSE,0.0003515625
82000,0.00024390243902439024,FALSE,0.0003515625
82200,0.00024330900243309004,FALSE,0.0003515625
82400,0.00024271844660194174,FALSE,0.0003515625
82600,0.00024213075060532688,FALSE,0.0003515625
82800,0.00024154589371980676,FALSE,0.0003515625
83000,0.00024096385542168674,FALSE,0.0003515625
83200,0.0002403846153846154,FALSE,0.0003515625
83400,0.00023980815347721823,FALSE,0.0003515625
83600,0.00023923444976076556,FALSE,0.0003515625
83800,0.00023866348448687351,FALSE,0.0003515625
84000,0.0002380952380952381,FALSE,0.0003515625
84200,0.00023752969121140142,FALSE,0.0003515625
84400,0.00023696682464454977,FALSE,0.0003515625
84600,0.00023640661938534278,FALSE,0.0003515625
84800,0.0002358490566037736,FALSE,0.0003515625
85000,0.00023529411764705883,FALSE,0.0003515625
85200,0.00023474178403755868,FALSE,0.0003515625
85400,0.000234192037470726,FALSE,0.0003515625
85600,0.00023364485981308412,FALSE,0.0003515625
85800,0.0002331002331002331,FALSE,0.0003515625
86000,0.00023255813953488373,FALSE,0.0003515625
86200,0.0002320185614849188,FALSE,0.0003515625
86400,0.0002314814814814815,FALSE,0.0003515625
86600,0.00024249422632794459,FALSE,0.0003515625
86800,0.00024193548387096774,FALSE,0.0003515625
87000,0.0002413793103448276,FALSE,0.0003515625
87200,0.0002408256880733945,FALSE,0.0003515625
87400,0.00024027459954233408,FALSE,0.0003515625
87600,0.00023972602739726027,FALSE,0.0003515625
87800,0.00023917995444191345,FALSE,0.0003515625
88000,0.00023863636363636364,FALSE,0.0003515625
88200,0.0002380952380952381,FALSE,0.0003515625
88400,0.00023755656108597286,FALSE,0.0003515625
88600,0.00023702031602708805,FALSE,0.0003515625
88800,0.00023648648648648648,FALSE,0.0003515625
89000,0.00023595505617977528,FALSE,0.0003515625
89200,0.00023542600896860988,FALSE,0.0003515625
89400,0.0002348993288590604,FALSE,0.0003515625
89600,0.000234375,FALSE,0.0003515625
89800,0.00023385300668151448,FALSE,0.0003515625
90000,0.00023333333333333333,FALSE,0.0003515625
90200,0.0002328159645232816,FALSE,0.0003515625
90400,0.00023230088495575221,FALSE,0.0003515625
90600,0.00023178807947019868,FALSE,0.0003515625
90800,0.00023127753303964758,FALSE,0.0003515625
91000,0.00023076923076923076,FALSE,0.0003515625
91200,0.00023026315789473684,FALSE,0.0003515625
91400,0.00022975929978118163,FALSE,0.0003515625
91600,0.00022925764192139738,FALSE,0.0003515625
91800,0.00022875816993464052,FALSE,0.0003515625
92000,0.0002282608695652174,FALSE,0.0003515625
92200,0.00022776572668112798,FALSE,0.0003515625
92400,0.00022727272727272727,FALSE,0.0003515625
92600,0.0002267818574514039,FALSE,0.0003515625
92800,0.00022629310344827588,FALSE,0.0003515625
93000,0.00022580645161290321,FALSE,0.0003515625
93200,0.00022532188841201716,FALSE,0.0003515625
93400,0.00022483940042826553,FALSE,0.0003515625
93600,0.00022435897435897436,FALSE,0.0003515625
93800,0.00022388059701492538,FALSE,0.0003515625
94000,0.00022340425531914892,FALSE,0.0003515625
94200,0.00022292993630573248,FALSE,0.0003515625
94400,0.00022245762711864406,FALSE,0.0003515625
94600,0.0002219873150105708,FALSE,0.0003515625
94800,0.00022151898734177215,FALSE,0.0003515625
95000,0.00022105263157894738,FALSE,0.0003515625
95200,0.00022058823529411765,FALSE,0.0003515625
95400,0.000220125786163522,FALSE,0.0003515625
95600,0.0002196652719665272,FALSE,0.0003515625
95800,0.00021920668058455115,FALSE,0.0003515625
96000,0.00021875,FALSE,0.0003515625
96200,0.0002182952182952183,FALSE,0.0003515625
96400,0.00021784232365145228,FALSE,0.0003515625
96600,0.0002173913043478261,FALSE,0.0003515625
96800,0.00021694214876033058,FALSE,0.0003515625
97000,0.00021649484536082474,FALSE,0.0003515625
97200,0.0002160493827160494,FALSE,0.0003515625
97400,0.00021560574948665298,FALSE,0.0003515625
97600,0.00021516393442622952,FALSE,0.0003515625
97800,0.0002147239263803681,FALSE,0.0003515625
98000,0.00021428571428571427,FALSE,0.0003515625
98200,0.00021384928716904278,FALSE,0.0003515625
98400,0.00021341463414634146,FALSE,0.0003515625
98600,0.00021298174442190669,FALSE,0.0003515625
98800,0.0002125506072874494,FALSE,0.0003515625
99000,0.00021212121212121213,FALSE,0.0003515625
99200,0.00021169354838709677,FALSE,0.0003515625
99400,0.00021126760563380283,FALSE,0.0003515625
99600,0.0002108433734939759,FALSE,0.0003515625
99800,0.00021042084168336673,FALSE,0.0003515625
100000,0.00021,FALSE,0.0003515625
100200,0.0002095808383233533,FALSE,0.0003515625
100400,0.0002091633466135458,FALSE,0.0003515625
100600,0.00020874751491053677,FALSE,0.0003515625
100800,0.00020833333333333335,FALSE,0.0003515625
101000,0.00020792079207920792,FALSE,0.0003515625
101200,0.0002075098814229249,FALSE,0.0003515625
101400,0.00020710059171597634,FALSE,0.0003515625
101600,0.00020669291338582676,FALSE,0.0003515625
101800,0.000206286836935167,FALSE,0.0003515625
